term_id	locale	title	slug	genre_term_id	genre_name	genre_slug
209199	en	O Brazil de Lil	o-brazil-de-lil-world-music	16974	World Music	world-music
17863	en	Off the Beaten Track(s)	off-the-beaten-tracks__jazz-en	16768	Jazz	jazz-en
24462	en	Off the Record	off-the-record__jazz-en	16768	Jazz	jazz-en
24044	en	Old news?	old-news-contemporary-music	3326	Contemporary Music	contemporary-music
24042	en	Old news?	old-news	3322	Modern Music	modern-music
168858	en	On Cloud Nine	on-cloud-nine__oud-en	3050	Early Music	early-music
66024	en	Opera in the 20th century	opera-in-de-20ste-eeuw__klassiek-en	3268	Classical Music	classical-music
101478	en	Opera in the 20th century	opera-in-de-20ste-eeuw__hedendaags-en	3326	Contemporary Music	contemporary-music
124682	en	Opera in the 20th century	opera-in-de-20ste-eeuw__modern-en	3322	Modern Music	modern-music
78210	en	Opera in the 20th century	opera-in-de-20ste-eeuw__opera-en	17472	Opera	opera-en
21346	en	OpgeHoesd	opgehoesd-classical-music	3268	Classical Music	classical-music
20083	en	OpgeHoesd	opgehoesd__crosslinks-en	5193	Crosslinks	crosslinks-en
20081	en	OpgeHoesd	opgehoesd__wereld-en	16974	World Music	world-music
64844	en	Organ Work	orgelwerk__oud-en	3050	Early Music	early-music
18537	en	Orient Express	orient-express__wereld-en	16974	World Music	world-music
18760	en	Other	overige__klassiek-en	3268	Classical Music	classical-music
21422	en	Other	overige__hedendaags-en	3326	Contemporary Music	contemporary-music
21424	en	Other	overige__crosslinks-en	5193	Crosslinks	crosslinks-en
23877	en	Other	overige__raakvlakken-en	17244	Cultural Interfaces	cultural-interfaces
21366	en	Other	overige__oud-en	3050	Early Music	early-music
18134	en	Other	overige__jazz-en	16768	Jazz	jazz-en
24023	en	Other	overige__modern-en	3322	Modern Music	modern-music
23692	en	Other	overige__wereld-en	16974	World Music	world-music
29607	en	Pakrammel	pakrammel__hedendaags-en	3326	Contemporary Music	contemporary-music
29605	en	Pakrammel	pakrammel__crosslinks-en	5193	Crosslinks	crosslinks-en
66067	en	Panorama De Leeuw	panorama-de-leeuw-contemporary-music	3326	Contemporary Music	contemporary-music
42542	en	Panorama De Leeuw	panorama-de-leeuw-cultural-interfaces	17244	Cultural Interfaces	cultural-interfaces
191874	en	Past, Present &amp; Future	past-present-future__jazz-en	16768	Jazz	jazz-en
28440	en	Paul Korenhof Browsing the Opera	paul-korenhofs-opera-actueel__klassiek-en	3268	Classical Music	classical-music
35302	en	Paul Korenhof Browsing the Opera	paul-korenhofs-opera-actueel__opera-en	17472	Opera	opera-en
42652	en	Pentatunes	pentatunes__klassiek-en	3268	Classical Music	classical-music
24082	en	Pluto	pluto__hedendaags-en	3326	Contemporary Music	contemporary-music
24084	en	Pluto	pluto__crosslinks-en	5193	Crosslinks	crosslinks-en
23753	en	Popart	popart__hedendaags-en	3326	Contemporary Music	contemporary-music
59887	en	Popart	popart__crosslinks-en	5193	Crosslinks	crosslinks-en
89716	en	Portamento	portamento-crosslinks-en	5193	Crosslinks	crosslinks-en
37279	en	Present Day Music	present-day-music-classical-music	3268	Classical Music	classical-music
34478	en	Present Day Music	present-day-music-contemporary-music	3326	Contemporary Music	contemporary-music
34476	en	Present Day Music	present-day-music	3322	Modern Music	modern-music
189276	en	ProgJazz	progjazz__jazz-en	16768	Jazz	jazz-en
44143	en	Radio Around the Globe	radio-rondje-evenaar__raakvlakken-en	17244	Cultural Interfaces	cultural-interfaces
147704	en	Radio Elastica	radio-elastica__crosslinks-en	5193	Crosslinks	crosslinks-en
218400	en	Radio Monalisa	radio-monalisa-contemporary-music	3326	Contemporary Music	contemporary-music
34267	en	Radio Monalisa	radio-monalisa__raakvlakken-en	17244	Cultural Interfaces	cultural-interfaces
58274	en	Radio Monalisa	radio-monalisa__modern-en	3322	Modern Music	modern-music
63845	en	Radio Music Essay	radio-muziek-essay__raakvlakken-en	17244	Cultural Interfaces	cultural-interfaces
58299	en	Radio Resistencia	radio-resistencia__hedendaags-en	3326	Contemporary Music	contemporary-music
53866	en	Radio Resistencia	radio-resistencia__crosslinks-en	5193	Crosslinks	crosslinks-en
62278	en	Radio Romantica	radio-romantica__klassiek-en	3268	Classical Music	classical-music
175989	en	Ratatouille	ratatouille__klassiek-en	3268	Classical Music	classical-music
141677	en	Re:light	re_light__crosslinks-en	5193	Crosslinks	crosslinks-en
217047	en	Rec/Play	rec_play__jazz-en	16768	Jazz	jazz-en
22849	en	Record up your Sleeve	record-up-your-sleeve-pop-en	5193	Crosslinks	crosslinks-en
22847	en	Record up your Sleeve	record-up-your-sleeve	16974	World Music	world-music
141673	en	Resonator	resonator__crosslinks-en	5193	Crosslinks	crosslinks-en
17320	en	Rhythm is our Business	rhythm-is-our-business__jazz-en	16768	Jazz	jazz-en
173891	en	Ritmundo	ritmundo__wereld-en	16974	World Music	world-music
34288	en	Roaming the Baroque	zwerven-door-de-barok__oud-en	3050	Early Music	early-music
127171	en	Roaming The Classical Period	zwerven-door-de-klassieke-periode__klassiek-en	3268	Classical Music	classical-music
127221	en	Roaming The Classical Period	roaming-the-classical-period	3050	Early Music	early-music
203066	en	Roaming The Classical Period	zwerven-door-de-klassieke-periode__oud-en	3050	Early Music	early-music
29105	en	Roaming the Renaissance	zwerven-door-de-renaissance__oud-en	3050	Early Music	early-music
189379	en	Roaming the Romantic Period	zwerven-door-de-romantiek__klassiek-en	3268	Classical Music	classical-music
212923	en	Roots &amp; Routes	roots-routes__wereld-en	16974	World Music	world-music
188157	en	Round Midnight	round_midnight__jazz-en	16768	Jazz	jazz-en
