term_id	program_source_key	locale	title_nl	title_en	source_title	source_slug	genre_term_id	genre_key	source_genre_name	source_genre_slug
31314	31314	nl	Het restje van de nacht		Het restje van de nacht	het-restje-van-de-nacht	17030	nachten	Nachten	nachten
31356	31356	nl	Mexico		Mexico	mexico	17242	raakvlakken	Raakvlakken	culturele-raakvlakken
34415	31363	en	Antiqua versus Nova	Antiqua versus Nova	Antiqua versus Nova	antiqua-versus-nova__oud-en	3050	oud	Early Music	early-music
31363	31363	nl	Antiqua versus Nova	Antiqua versus Nova	Antiqua versus Nova	antiqua-versus-nova__oud-nl	3048	oud	Oud	oude-muziek
31366	31366	nl	Vitezslav Novak		Vitezslav Novak	vitezslav-novak	3266	klassiek	Klassiek	klassieke-muziek
31522	31522	en	Een vroege wandeling	An early morning stroll	An early morning stroll	een-vroege-wandeling__klassiek-en	3268	klassiek	Classical Music	classical-music
45332	31522	nl	Een vroege wandeling	An early morning stroll	Een vroege wandeling	een-vroege-wandeling__klassiek-nl	3266	klassiek	Klassiek	klassieke-muziek
33486	31606	en	Musicians Corner	Musicians Corner	Musicians Corner	musicians-corner__jazz-en	16768	jazz	Jazz	jazz-en
31606	31606	nl	Musicians Corner	Musicians Corner	Musicians Corner	musicians-corner__jazz-nl	16766	jazz	Jazz	jazz
31742	31742	nl	Vredenburg Actueel		Vredenburg Actueel	vredenburg-actueel	3266	klassiek	Klassiek	klassieke-muziek
32301	31795	en	Tussen Concertzaal en Filmtheater	Between Concert Halls and Movie Theatres	Between Concert Halls and Movie Theatres	tussen-concertzaal-en-filmtheater__raakvlakken-en	17244	raakvlakken	Cultural Interfaces	cultural-interfaces
40119	31795	en	Tussen Concertzaal en Filmtheater	Between Concert Halls and Movie Theatres	Between Concert Halls and Movie Theatres	between-concert-halls-and-movie-theatres-classical-music	3268	klassiek	Classical Music	classical-music
31795	31795	nl	Tussen Concertzaal en Filmtheater	Between Concert Halls and Movie Theatres	Tussen Concertzaal en Filmtheater	tussen-concertzaal-en-filmtheater__raakvlakken-nl	17242	raakvlakken	Raakvlakken	culturele-raakvlakken
31963	31963	nl	Latijns-Amerika en Curaçao		Latijns-Amerika en Curaçao	latijns-amerika-en-curacao	3266	klassiek	Klassiek	klassieke-muziek
34267	32102	en	Radio Monalisa	Radio Monalisa	Radio Monalisa	radio-monalisa__raakvlakken-en	17244	raakvlakken	Cultural Interfaces	cultural-interfaces
58274	32102	en	Radio Monalisa	Radio Monalisa	Radio Monalisa	radio-monalisa__modern-en	3322	modern	Modern Music	modern-music
218400	32102	en	Radio Monalisa	Radio Monalisa	Radio Monalisa	radio-monalisa-contemporary-music	3326	hedendaags	Contemporary Music	contemporary-music
